Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;DFA;BR;Commentaires
24/12/25;0:05:00;;322;38Nm;;+23bpm;;;Test HT
3/1/25;0:20:00;;289;35Nm;;+33bpm;;;Test HT
27/12/25;0:05:00;;301;38Nm;;;;;Test outdoor
28/12/25;0:20:00;;268;34Nm;;;0,37;;Test outdoor
;;;;;;;0,33;;
;;;;;;;0,39;;
;;;;;;;0,38;;
;;;;;;;0,34;;
;;;;;;;0,31;;
;;;;;;;0,47;;
;;;;;;;0,33;;
;;;;;;;0,54;;
;;;;;;;0,33;;
;;;;;;;0,44;;
;;;;;;;0,52;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;0,39;;
;;;;;;;0,53;;
;;;;;;;0,42;53;
;;;;;;;0,57;50;
;;;;;;;;;
;;;;;;;0,70;48;
;;;;;;;0,39;57;
;;;;;;;0,35;53;
;;;;;;;0,33;60;
;;;;;;;0,63;50;
;;;;;;;0,38;51;
;;;;;;;0,33;48;
;;;;;;;0,47;51;
;;;;;;;0,55;56;
;;;;;;;0,42;57;
;;;;;;;0,43;55;
;;;;;;;0,62;48;
;;;;;;;0,33;51;
;;;;;;;0,33;52;
;;;;;;;0,57;47;
;;;;;;;0,54;47;
;;;;;;;0,54;42;
;;;;;;;0,95;45;
;;;;;;;0,53;47;
;;;;;;;0,51;49;
;;;;;;;0,63;46;
;;;;;;;0,57;48;
;;;;;;;0,46;51;
;;;;;;;0,39;50;
;;;;;;;0,40;51;
;;;;;;;0,33;52;
;;;;;;;0,38;52;
;;;;;;;0,47;50;
