Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;DFA;BR;Commentaires
4/12/22;0:05:00;;335;33Nm;158;+23bpm;;;
9/12/22;0:10:00;;325;34Nm;154;+27bpm;;;
19/12/22;0:30:00;;315;33Nm;151;+43bpm;;;
26/12/22;0:40:00;;315;33Nm;153;+37bpm ;;;
17/1/23;0:20:00;;288;29Nm;147;+32bpm ;;;HT
21/1/23;0:30:00;;311;32Nm;146;+31bpm;;;
1/2/23;0:16:00;;301;31Nm;153;+30bpm;;;
6/2/23;0:20:00;;312;31Nm;153;+30bpm;;;
10/2/23;0:30:00;;276;28Nm;134;+29bpm;;;
13/2/23;0:30:00;;319;32Nm;146;+18bpm;;;
22/2/23;0:08:00;;277;29Nm;152;+8bpm;;;
22/2/23;0:04:00;;332;34Nm;157;+6bpm;;;
8/3/23;0:05:00;;400;;;;;;Test 5’ outdoor
9/3/23;0:20:00;;356;37Nm;154;;0,41;;Test 20’ outdoor
13/3/23;0:05:00;;349;37Nm;153;;0,65;;
10/4/23;0:30:00;;285;31Nm;143;;0,53;;
28/5/23;;17Km;284;;165;;;;Duathlon
21/6/23;0:20:00;;295;30Nm;155;;;;
18/7/23;0:05:00;;316;33Nm;157;;0,41;57;
31/7/23;0:45:00;;318;34Nm;145;;0,31;53;
2/8/23;;40Km;286;31Nm;133;;0,5;47;
5/8/23;1:00:00;;292;31Nm;133;;0,52;47;
8/8/23;;60Km;266;29Nm;126;;0,74;44;
16/8/23;1:00:00;;314;32Nm;144;;0,71;47;
19/8/23;;20Km;281;32Nm;130;;0,81;42;
22/8/23;0:20:00;;284;31Nm;132;;0,54;41;
6/8/23;0:03:00;;360;36Nm;151;;0,52;50;
10/9/23;0:05:00;;337;35Nm;147;;0,65;45;
10/9/23;1:00:00;;294;31Nm;142;;0,73;45;
11/9/23;0:01:30;;366;36Nm;142;;;42;
11/9/23;0:03:30;;329;34Nm;149;;;50;
17/9/23;0:10:00;;315;33Nm;155;;0,53;51;
17/9/23;0:50:00;;272;29Nm;148;;0,56;49;
24/9/23;;35Km;287;30Nm;144;;0,75;46;
30/9/23;;90Km;268;;144;;;;Half Bayman
10/1/24;0:10:00;;284;32Nm;151;;0,55;37;HT
21/1/24;0:08:00;;285;32Nm;157;;;;HT
28/2/24;0:15:00;;289;28Nm;145;;;;
10/3/24;0:45:00;;279;29Nm;144;;;;
13/3/24;0:08:00;;339;35Nm;156;;;;
6/4/24;0:02:00;;350;37Nm;152;;;;
21/4/24;0:30:00;;287;31Nm;145;;;;
12/5/24;0:30:00;;290;33Nm;140;;;;
15/5/24;0:03:00;;339;36Nm;149;;;;
19/5/24;;40Km;285;31Nm;142;;;;
2/6/24;0:10:00;;326;35Nm;150;;;;
5/6/24;0:05:00;;337;34Nm;155;;;;
9/6/24;;35Km;293;32Nm;141;;;;
12/6/24;0:08:00;;337;37Nm;147;;;;
16/6/24;;40Km;301;34Nm;141;;;;
22/6/24;;90Km;270;30Nm;145;;;;OpenLakes
3/7/24;1:00:00;;295;33Nm;144;;;;
31/7/24;1:00:00;;274;31Nm;152;;;;
1/9/24;0:05:00;;336;38Nm;152;;;;
1/9/24;1:30:00;;290;32Nm;150;;;;
4/9/24;0:30:00;;327;35Nm;147;;;;
7/9/24;1:30:00;;301;33Nm;139;;;;
10/9/24;0:05:00;;357;38Nm;151;;;;
21/9/24;;86Km;286;33Nm;146;;;;Half Sud Vendée
28/9/24;0:05:00;;332;37Nm;153;;;;
28/9/24;1:00:00;;296;33Nm;149;;;;
5/10/24;;89,5Km;282;32Nm;144;;;;Bayman
11/11/24;0:01:30;;393;41Nm;147;;;;
11/11/24;0:03:30;;346;38Nm;157;;;;
9/3/25;1:00:00;;261;31Nm;130;;;;HT
11/11/25;0:01:30;;325;32Nm;147;;;;HT
11/11/25;0:03:30;;293;31Nm;155;;;;HT
