CàP;Durée;KM;Allure/ KM;HRmean;DC;HR Drift;RPE;Commentaires
25/11/22;;1Km;0:04:47;154;;+26bpm;;
30/11/22;0:10:00;;0:04:35;155;;+23bpm;;
30/11/22;0:05:00;;0:04:24;161;;+15bpm;;
4/12/22;;2Km;0:04:22;156;;+31bpm;;
7/12/22;0:32:00;;0:04:31;155;;;;
15/1/23;;5Km;0:04:41;142;;;;
22/1/23;0:05:00;;0:04:10;154;;;;Séance intensité variable
6/2/23;0:05:00;;0:04:24;153;;+16bpm;;
6/2/23;0:15:00;;0:04:39;148;;+31bpm;;
13/2/23;0:37:00;;0:04:52;142;;+25bpm;;
13/2/23;0:03:00;;0:04:25;153;;+13bpm;;
18/2/23;0:45:00;;0:05:00;146;;+30bpm;;Test ENC
22/2/23;;1Km;0:04:38;148;;+11bpm;;
26/2/23;;10Km;0:05:30;133;;;2;BTD
26/2/23;;20Km;0:05:25;133;;;2;
1/3/23;0:47:00;;0:04:50;150;;+30bpm;;
1/3/23;0:03:00;;0:04:16;156;;;;
5/3/23;;12Km;0:05:17;127;;;2;BTD
8/3/23;;1,5Km;0:04:45;157;;;;
8/3/23;;500m;0:04:13;163;;;;
11/3/23;;14Km;0:05:16;133;;;2;BTD
13/3/23;;17Km;0:04:40;147;;;;
13/3/23;;3Km;0:04:26;155;;;;
17/3/23;0:02:00;;0:04:09;148;;;;
20/3/23;;22Km;0:04:41;138;;;;
20/3/23;;3Km;0:04:28;144;;;;
26/3/23;;10Km;0:05:20;126;;;2;BTD
2/4/23;;10Km;0:04:46;136;;;;ENC
11/4/23;;3Km;0:04:25;149;;;;
15/4/23;0:02:00;;0:04:10;151;;;;
17/4/23;;21Km;0:04:30;145;;;;
21/4/23;;8Km;0:04:33;141;;;;ENC
28/4/23;;32Km;0:04:35;151;;;;
28/4/23;;3Km;0:04:39;156;;;;
2/5/23;0:04:00;;0:04:13;153;;;;
7/5/23;;9,6Km;0:04:09;155;;;;Tri La Bonneville
20/5/23;;42Km;0:05:04;133;;;;XL FrenchMan
4/6/23;0:25:00;;0:04:34;151;;;;ENC
11/6/23;;8Km;0:04:34;147;;;;ENC
11/6/23;;4Km;0:04:11;160;;;;ENC
11/6/23;;2Km;0:04:38;158;;;;ENC
15/6/23;;1Km;0:04:25;153;;;;
18/6/23;;2,5Km;0:04:19;153;;;;ENC
21/6/23;;1Km;0:04:26;144;;;;
25/6/23;;21Km;0:04:32;153;;;;70.3 Nice
6/8/23;;10Km;0:04:38;146;;;;
13/8/23;;8Km;0:04:47;144;;;;ENC
13/8/23;;4Km;0:04:29;154;;;;ENC
16/8/23;;1Km;0:04:32;152;;;;
19/8/23;;5Km;0:04:29;147;;;;ENC
22/8/23;;1Km;0:04:30;151;;;;
6/9/23;;2Km;0:04:27;164;;;;
7/9/23;;5Km;0:04:34;159;;;;
24/9/23;;15Km;0:05:12;129;;;2;BTD
1/10/23;;10Km;0:04:47;147;;;;ENC IM
2/10/23;;6Km;0:04:33;146;;;;
7/10/23;;15Km;0:04:52;146;;;;ENC IM
9/10/23;;10Km;0:04:41;142;;;;
9/10/23;;5Km;0:04:27;153;;;;
13/10/23;;1Km;0:04:24;156;;;;
12/11/23;;2Km;0:04:24;156;;;;
1/12/23;0:03:00;;0:04:24;150;;;;
5/1/24;;2Km;0:04:40;152;;;;
