Vélo;Durée;KM;Puissance;Torque;HRmean;DC;HR Drift;RPE;Commentaires
29/3/23;0:01:00;;317;35Nm;160;;;;
29/3/23;0:01:00;;282;32Nm;161;;;;
7/4/23;0:02:00;;293;33Nm;160;;;;
12/4/23;0:03:00;;284;32Nm;163;;;;
3/5/23;0:05:00;;263;30Nm;152;;;;
10/5/23;0:08:00;;265;31Nm;153;;;;
24/5/23;0:10:00;;259;30Nm;153;;;;
29/5/23;0:50:43;11Km;244;33Nm;;;;;Montée ventoux
3/6/23;0:50:00;;243;27Nm;153;;;;
7/6/23;0:05:00;;259;30Nm;151;;;;
14/6/23;0:30:00;;255;29Nm;153;;;;
18/6/23;;45Km;254;30Nm;139;;;;
2/7/23;;90Km;251;;170;;;;70.3 Sables
10/7/23;1:09:00;;238;30Nm;160;;;;Montée Izoard
13/8/23;1:00:00;;247;26Nm;144;;;;
14/8/23;0:40:00;;275;31Nm;153;;;;
23/8/23;0:05:00;;237;27Nm;147;;;;
6/9/23;0:20:00;;246;28Nm;156;;;;
17/9/23;;90Km;245;;170;;;;70.3 Belgique
5/10/23;0:04:00;;274;30Nm;159;;;;
11/10/23;0:10:00;;271;31Nm;155;;;;
15/10/23;0:05:00;;285;33Nm;155;;;;
1/11/23;0:05:00;;287;30Nm;162;;;;
21/10/23;;90Km;262;;163;;;;70.3 Cascais
8/11/23;0:03:00;;285;31Nm;159;;;;
15/11/23;0:01:30;;300;34Nm;155;;;;
15/11/23;0:05:00;;279;32Nm;154;;;;
19/11/23;0:30:00;;237;28Nm;144;;;;
3/12/23;1:00:00;;246;29Nm;135;;;;
6/12/23;0:05:00;;286;32Nm;167;;;;HT
9/12/23;0:15:00;;269;29Nm;158;;;;
21/1/24;0:03:00;;292;31Nm;162;;;;HT
28/01/2024;0:20:00;;227;25Nm;156;;;;HT
31/1/24;0:10:00;;262;29Nm;144;;;;
4/2/27;0:30:00;;242;29Nm;136;;;;
7/2/24;0:30:00;;263;31Nm;147;;;;
10/2/24;0:40:00;;238;28Nm;151;;;;
28/2/24;0:45:00;;223;25Nm;143;1,05;;;HT
2/3/24;0:16:00;;273;23Nm;147;;;;
3/3/24;0:03:00;;271;31Nm;146;;;;
7/3/24;;60Km;230;28Nm;128;;;;
13/3/24;0:21:00;;269;33Nm;157;;;;
16/3/24;;40Km;246;27Nm;146;;;;
13/4/24;0:18:00;;259;30Nm;153;;;;
13/4/24;0:11:00;;251;30Nm;157;;;;
14/4/24;;50Km;241;28Nm;134;;;;
17/4/24;0:05:00;;288;35Nm;144;;;;
21/4/24;0:30:00;;245;28Nm;130;;;;
8/5/24;0:30:00;;278;31Nm;154;;;;
12/5/24;;45Km;239;28Nm;126;;;;
15/5/24;0:08:00;;281;31Nm;159;;;;
20/5/24;0:50:00;;240;30Nm;139;;;;
29/6/24;0:02:00;;296;32Nm;146;;;;
5/6/24;0:15:00;;280;30Nm;157;;;;
8/6/24;;14Km;204;26Nm;152;;;;Izoard
8/6/24;;4,2Km;213;26Nm;142;;;;Chalvet
22/6/24;0:50:00;;258;31Nm;138;;;;
24/6/24;;14Km;233;30Nm;150;;;;Izoard
24/6/24;;4,2Km;230;29Nm;149;;;;Chalvet
30/6/24;;90Km;246;25Nm;150;;;;Half Embrun
10/7/24;0:08:00;;264;30Nm;160;;;;
14/7/24;0:50:00;;232;28Nm;125;;;;
17/7/24;;60Km;231;27Nm;134;;;;
